,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
108,150,310,02,电子信息类（IEEE试点班，含双学士学位项目）,非定向,1,669,1,4,7700,校本部,含电子信息类（IEEE试点班）-数学与应用数学双学士学位项目。包含专业：计算机科学与技术、信息工程、信息安全、自动化,71.0
109,151,182,02,外国语言文学类,非定向,4,517,2,4,6240,秦皇岛市,包含专业：英语、日语,10758.0
110,152,210,02,化学（基础拔尖）,非定向,2,557,3,4,5000,朝阳校区/昌平校区,内设1个化学（基础拔尖班）和1个化学（优培计划）,5202.0
111,153,621,02,材料类,非定向,7,454,7,4,5200,青义校区,包含专业：材料科学与工程、材料物理、功能材料、储能科学与工程,23766.0
112,156,330,02,临床医学（本博连读）,非定向,6,672,7,8,6000,北京市,色盲色弱不予录取,58.0
113,157,137,02,经济学类,非定向,2,476,3,4,6500,临港校区,包含专业：经济学(海运与物流经济)、国际经济与贸易、金融学(海运金融)、会计学、会计学(国际会计)、会计学(管理会计)、会计学(ACCA)、财务管理、工商管理、旅游管理、供应链管理,18605.0
114,158,062,02,水产类,非定向,3,502,4,4,7700,校本部主校区,包含专业：水产养殖学、水族科学与技术、水生动物医学,13333.0
115,159,189,02,计算机类,非定向,15,598,15,4,6600,南校区,大类包含专业“软件工程”一、二年级每人每年学费6600元，大三、大四按学分计，每学分不超过400元，总学分不高于80学分。包含专业：计算机科学与技术、物联网工程、数据科学与大数据技术、软件工程、人工智能、智能科学与技术、信息安全、网络工程、网络空间安全,1830.0
116,160,096,02,材料成型及控制工程,非定向,2,488,0,4,6480,曲江校区,,16049.0
117,161,219,02,非织造材料与工程,非定向,6,483,5,4,5400,校本部,,17058.0
118,162,160,02,地质学类（地质地矿类）,非定向,7,531,8,4,5500,校本部,不招色盲、色弱、单色识别不全。包含专业：地质学、地质学(地质地球物理复合)、地质学(旅游地学)、资源勘查工程(固体矿产)、地球化学、地球信息科学与技术(大数据与数字地球),8650.0
119,163,435,02,材料科学与工程,非定向,2,521,2,4,5200,北京市,,10105.0
120,164,052,02,金融学,非定向,2,456,3,4,5390,龙湖东校区,,23253.0
121,165,242,02,建筑环境与能源应用工程,非定向,2,457,1,4,5220,校本部,,23010.0
122,167,097,02,无机非金属材料工程,非定向,2,516,2,4,5500,合肥校区,,10915.0
123,168,177,02,计算机类,非定向,5,519,5,4,5850,黄家湖校区,包含专业：计算机科学与技术、软件工程、网络工程、信息安全,10442.0
124,169,234,02,计算机类（元班）,非定向,2,627,4,4,5500,,本硕博贯通培养实验班。一年级在沙河校区，二、三、四年级将根据学校规划安排在沙河校区或西土城路校区。包含专业：计算机科学与技术、网络空间安全,712.0
125,170,357,02,大气科学类,非定向,8,573,9,4,6050,校本部,包含专业：大气科学,3609.0
126,171,790,02,儿科学,非定向,5,508,3,5,7656,湛江校区,不招色盲色弱,12271.0
127,173,170,02,工科试验班类,非定向,8,587,10,4,5000,校本部,第一学年末在全校所有工科专业范围内按专业限额方式进行专业选择。包含专业：材料科学与工程、计算机类、自动化类、机械类、通信工程、土木类、安全工程,2509.0
128,178,035,02,金融科技,非定向,1,577,2,4,4600,柳林校区,,3284.0
129,179,796,02,中医学（5+3一体化）,非定向,2,575,3,5,7660,校本部,不招色盲色弱;前5年为本科培养阶段，后3年实行中医硕士专业学位研究生与中医住院医师规范化培训有机衔接的培养模式,3435.0
130,181,031,02,经济统计学,非定向,2,546,2,4,5200,江苏省南京市,,6565.0
131,182,066,02,生物工程,非定向,3,514,3,4,5850,武汉市,,11259.0
132,185,045,02,经济与贸易类,非定向,5,456,5,4,4500,江北校区,包含专业：贸易经济、国际经济与贸易,23253.0
133,186,A81,02,精神医学,非定向,2,482,2,5,6000,校本部,不招色盲色弱考生。,17268.0
134,187,231,02,信息工程,非定向,1,548,1,4,6480,长安校区,,6304.0
135,188,464,02,能源与动力工程,非定向,2,504,6,4,5900,雨母校区,,12966.0
136,189,964,02,财务管理,非定向,2,516,2,4,6500,文翔路校区,,10915.0
137,191,M30,02,油气储运工程,非定向,2,487,2,4,5200,成都校区,不招色盲,16260.0
138,193,025,02,财政学类,非定向,4,590,4,4,5000,按学校两校区建设规划和办学实际确定,包含专业：财政学、税收学、资产评估、财政学(财政基础理论基地班)、税收学(全球税收治理菁英班),2312.0
139,194,294,02,土木类,非定向,3,674,0,4,5000,北京市,包含专业：土木工程、交通工程、水利科学与工程、工程管理,54.0
140,195,134,02,电子信息类,非定向,3,587,4,4,5500,北京校部,包含专业：电子信息工程、电子科学与技术、通信工程,2509.0
141,196,341,02,麻醉学,非定向,1,548,1,5,5000,校本部,,6304.0
142,200,878,02,临床医学（5+3一体化）,非定向,2,599,2,5,4800,校本部,,1779.0
143,201,203,02,材料类,非定向,12,543,11,4,6380,南京校区,包含专业：材料科学与工程、材料物理、纳米材料与技术、材料成型及控制工程,6993.0
144,202,083,02,环境科学,非定向,3,499,3,4,3500,校本部,,13906.0
145,203,046,02,智能制造工程,非定向,3,459,5,4,5400,校本部,,22507.0
146,204,280,02,工科试验班（智能装备与先进制造）,非定向,2,600,2,4,6850,广州,包含专业：机械工程、机械电子工程、智能车辆工程、过程装备与控制工程、材料成型及控制工程,1729.0
147,205,073,02,理科试验班（信息科学）,非定向,2,587,2,4,5000,北京市海淀区,包含专业：电子信息类、计算机类、农业工程类、机械类、水利类、数学与应用数学、工程力学、地理科学类,2509.0
148,207,390,02,药学（拔尖创新班）,非定向,2,573,3,4,7480,江宁校区,不招色盲色弱,3609.0
149,208,754,02,能源经济,非定向,13,434,4,4,4400,西校区,,28969.0
150,209,758,02,口腔医学,非定向,39,549,50,5,5000,金山校区,,6181.0
151,211,241,02,交通工程,非定向,3,489,3,4,4700,校本部,,15879.0
152,217,C98,02,新闻传播学类（中外合作办学）,非定向,6,465,2,4,100000,广东省珠海市,大类招生。广告学专业培养公共关系与广告学方向；传播学专业培养媒体与传播学、媒体艺术与设计、影视学、动画与互动媒体、中华文化与国际传播方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：广告学(中外合作办学)、传播学(中外合作办学),21120.0
153,218,281,02,金融学,非定向,2,497,2,4,5000,校本部,,14323.0
154,219,199,02,工科试验班（徐特立英才班）,非定向,6,646,17,4,5500,北京,包含专业：全校理工类专业，含信息与计算科学-电子信息工程(双学位)、应用物理学-电子科学与技术(双学位)、统计学-密码科学与技术(双学位)、应用物理学-网络空间安全(双学位),311.0
155,224,F98,02,建筑类（中外合作办学）,非定向,3,509,0,4,88000,,专业课全英文授课，详见招生简章。包含专业：建筑学(中外合作办学)、城乡规划(中外合作办学)、土木工程(中外合作办学),12069.0
156,225,019,02,法学,非定向,9,612,9,4,5000,北京昌平,,1197.0
157,226,128,02,临床医学（5+3一体化，儿科学）,非定向,2,577,3,5,,校本部,学费前5年5500元/学年，后3年12000元/学年,3284.0
158,227,391,02,药学（英语强化班）,非定向,1,531,1,5,6050,南校区,不招收色盲、色弱考生。第一年英语基础学习,8650.0
159,230,900,02,工科试验班（电子与信息类）,非定向,8,546,8,4,7000,校本部,包含专业：系统科学与工程、测控技术与仪器、电气工程及其自动化、电子信息工程、通信工程、光电信息科学与工程、医学信息工程、人工智能、自动化、计算机科学与技术、智能科学与技术、数据科学与大数据技术、新媒体技术、信息管理与信息系统,6565.0
160,231,B02,02,中医学,非定向,2,514,2,5,7500,长沙市,,11259.0
161,233,150,02,城乡规划,非定向,1,466,1,5,5200,主校区,须具备一定美术基础,20873.0
162,234,E24,02,工科试验班（计算机与电子通信）,非定向,30,601,32,4,7000,威海校区,包含专业：计算机科学与技术、人工智能、网络空间安全、通信工程、海洋信息工程、电子信息工程、微电子科学与工程,1676.0
163,236,471,02,临床医学（5+3一体化）,非定向,2,582,2,5,7500,武鸣校区,不招色盲色弱,2862.0
164,237,442,02,化学类,非定向,7,477,7,4,5300,下沙校区,包含专业：应用化学、材料化学,18379.0
165,238,K53,02,国民经济管理（中外合作办学）,非定向,1,608,0,4,60000,苏州校区,合作院校为法国保罗-瓦莱里大学，毕业时可获中法双学位并可赴该校攻读硕士。,1361.0
166,239,J72,02,新能源材料与器件,非定向,2,549,2,4,6050,宣城校区,,6181.0
167,241,452,02,采矿工程,非定向,4,497,4,4,6480,主校区,,14323.0
168,243,381,02,审计学,非定向,2,507,4,4,5280,净月校区,,12440.0
169,244,232,02,电子信息工程,非定向,4,572,4,4,6380,仙林校区,,3695.0
170,245,243,02,电子信息类（通信与控制）,非定向,16,590,17,4,5500,北京市,包含专业：通信工程、轨道交通信号与控制、自动化、电子科学与技术、信息工程、智能装备与系统,2312.0
171,246,463,02,矿业类,非定向,16,547,16,4,5800,,包含专业：智能采矿工程、新能源科学与工程、采矿工程、工业工程、矿物加工工程,6427.0
172,247,410,02,航空航天类,非定向,6,573,7,4,5500,校本部,包含专业：飞行器设计与工程、飞行器动力工程、工程力学、土木工程,3609.0
173,248,070,02,种子科学与工程,非定向,2,548,4,4,2750,江苏省南京市,,6304.0
174,250,551,02,日语,非定向,1,457,0,4,5400,马场道校区,,23010.0
175,251,399,02,中西医临床医学（华佗班）,非定向,1,625,1,9,5800,良乡校区,,760.0
176,254,E76,02,财务管理（中外合作办学）,非定向,3,518,3,4,100000,宁波,英语单科不低于115分,10600.0
177,256,313,02,经济学类,非定向,2,549,2,4,5800,威海校区,包含专业：金融学(证券、银行方向)、金融学(保险方向)、国际经济与贸易,6181.0
178,257,250,02,电子信息类,非定向,14,559,14,4,5980,校本部,包含专业：电子信息工程、电子信息科学与技术、通信工程、光电信息科学与工程,5000.0
179,258,E24,03,工科试验班（机器人与智能装备）,非定向,18,598,19,4,6000,威海校区,包含专业：机械设计制造及其自动化、机器人工程、车辆工程、智能车辆工程、储能科学与工程、测控技术与仪器、材料成型及控制工程、焊接技术与工程,1830.0
180,261,313,03,工商管理类,非定向,3,549,0,4,5800,威海校区,包含专业：工商管理(数字化运营管理方向)、工商管理(数字营销方向)、工商管理(商务智能方向)、工商管理(旅游与大数据方向)、工商管理(组织与人力资本管理方向)、会计学、供应链管理,6181.0
181,262,250,03,计算机类,非定向,12,566,14,4,5200,校本部,包含专业：计算机科学与技术、软件工程、数据科学与大数据技术、网络工程、智能科学与技术,4278.0
182,263,450,03,矿物加工工程,非定向,3,457,4,4,5200,阜新校区中华路校园,,23010.0
183,264,171,03,风景园林,非定向,2,472,2,5,6480,雁塔校区,,19501.0
184,265,182,03,数学类,非定向,7,541,7,4,6240,秦皇岛市,包含专业：数学与应用数学、应用统计学、数据科学与大数据技术,7242.0
185,266,244,03,建筑环境与能源应用工程,非定向,3,461,2,4,4900,龙山校区,,22055.0
