,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
156,562,309,05,经济管理试验班,非定向,1,608,2,4,6500,上海,含双学位培养项目：金融学-数学与应用数学，环境科学-会计学。可参加拔尖人才培养特区选拔。包含专业：工程管理、信息管理与信息系统、物流管理、会计学、金融学,97.0
157,563,381,05,日语,非定向,2,479,0,4,5060,净月校区,只招收英语语种考生,5673.0
158,564,L10,05,金融学（中外合作办学）,非定向,44,468,33,4,18000,西校区,只录取有专业志愿的英语语种考生。,6832.0
159,571,018,05,法学（民商法）,非定向,4,569,5,4,5350,校本部,,596.0
160,572,074,05,汉语国际教育,非定向,2,549,2,4,5500,校本部,,1162.0
161,573,427,05,英语,非定向,2,489,2,4,5000,校本部,要求英语单科成绩不低于100分,4718.0
162,574,035,05,金融学类（保险方向）,非定向,2,564,3,4,4600,柳林校区,包含专业：保险学、保险学(财务与会计双语实验班)、保险学(精算双语实验班),702.0
163,576,A32,05,中医学,非定向,2,543,3,5,6160,净月校区,不招色盲色弱,1358.0
164,582,711,05,哲学类,非定向,1,527,1,4,4830,坞城校区,包含专业：哲学、伦理学,2073.0
165,583,757,05,小学教育（语文）（师范类）,非定向,30,480,17,4,4200,校本部,,5564.0
166,584,006,05,国际经济与贸易,非定向,3,485,2,4,4400,航空港校区,,5083.0
167,591,282,05,经济管理试验班,非定向,2,613,1,4,5720,鼓楼校区,包含专业：经济学、金融学、金融工程、保险学、经济学(产业经济学方向)、工商管理、市场营销、会计学、财务管理、电子商务、工商管理(人力资源方向)、国际经济与贸易,72.0
168,593,B82,05,广告学,非定向,2,545,0,4,5510,粤海校区,,1288.0
169,597,E76,05,经济学（中外合作办学）,非定向,3,526,2,4,100000,宁波,英语单科不低于115分,2140.0
170,599,313,05,汉语言文学,非定向,2,576,3,4,5100,威海校区,,451.0
171,604,603,05,法学,非定向,2,518,3,4,4800,浙江省温州市,,2604.0
172,607,025,06,工商管理类（会计学院）,非定向,2,593,2,4,5000,按学校两校区建设规划和办学实际确定,包含专业：会计学、财务管理,205.0
173,628,C98,06,经济学（中外合作办学）,非定向,3,503,3,4,100000,广东省珠海市,培养应用经济学、商业分析方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学,3612.0
174,631,754,06,投资学,非定向,10,468,9,4,4400,西校区,,6832.0
175,637,018,06,法学（经济法）,非定向,3,573,3,4,5350,校本部,,511.0
176,638,074,06,俄语,非定向,2,522,1,4,5500,校本部,,2367.0
177,643,942,06,汉语言文学,非定向,2,535,3,4,5000,长安校区,,1677.0
178,644,925,06,传播学,非定向,2,512,2,4,4600,海甸校区,一年级在城西基础教学部,2994.0
179,646,757,06,汉语言文学（师范类）,非定向,87,488,101,4,4200,校本部,语文不低于90分,4799.0
180,647,006,06,法学,非定向,3,535,7,4,4400,武侯校区,,1677.0
181,649,126,06,会计学,非定向,1,539,2,4,5000,长沙,,1502.0
182,656,282,06,外国语言文学类,非定向,2,613,0,4,5720,鼓楼校区,包含专业：英语、德语、法语、西班牙语,72.0
183,658,551,06,西班牙语,非定向,1,518,1,4,5400,马场道校区,,2604.0
184,659,399,06,中医学,非定向,1,595,2,5,5800,良乡校区,,192.0
185,663,250,06,工商管理类,非定向,3,508,1,4,5200,校本部,包含专业：工商管理、旅游管理、财务管理,3251.0
186,680,274,06,戏剧教育,非定向,1,505,1,4,13000,华山路校区,,3490.0
187,681,286,06,金融学类,非定向,2,624,2,4,5000,北京市,入校后可参与选拔项目：金融学-数学、金融学-数据科学与大数据技术（工学）2个双主学位项目；国际交流：含剑桥大学本科生访学、康奈尔大学暑期学校，伊利诺伊大学香槟分校、明尼苏达双城大学、杜伦大学、玛丽女王大学、法兰克福大学、新加坡管理大学双硕士学位联合培养等。包含专业：金融学、金融工程、保险学、信用管理,33.0
188,686,020,06,财政学类,非定向,1,570,1,4,5850,首义校区,包含专业：财政学、税收学,570.0
189,695,300,06,法学类,非定向,2,588,3,4,5100,青岛校区,含“法学+英语”双学位班。包含专业：法学,264.0
190,698,605,06,新闻传播学类,非定向,2,537,1,4,4400,主校区,包含专业：新闻学、广播电视学、广告学、网络与新媒体,1592.0
191,710,007,06,经济学类,非定向,4,520,4,4,5850,校本部,包含专业：经济学、数字经济、金融学、国际经济与贸易,2482.0
192,716,304,06,社会学类,非定向,1,637,0,4,5000,校本部,包含专业：社会学、社会工作,12.0
193,723,131,07,工商管理类,非定向,4,531,4,4,5000,校本部,包含专业：工商管理、会计学,1864.0
194,726,302,07,法学,非定向,4,604,3,4,5200,津南校区,,121.0
195,737,020,07,金融学类,非定向,2,566,2,4,5850,首义校区,包含专业：金融学、金融工程、投资学,654.0
196,739,300,07,中国语言文学类,非定向,2,596,2,4,5100,校本部,含闻一多基地班、中文拔尖2.0班。包含专业：汉语言文学,179.0
197,748,796,07,中西医临床医学,非定向,1,541,1,5,7660,校本部,不招色盲色弱,1432.0
198,750,007,07,法学,非定向,2,522,3,4,5850,校本部,,2367.0
199,756,304,07,国际政治（国政、外交学、国际政经）,非定向,1,640,1,4,5000,校本部,,
200,758,384,07,法学（刑事法律）,非定向,1,581,1,4,6500,松江校区,,368.0
201,761,049,07,法学,非定向,2,547,3,4,5200,仙林校区,,1216.0
202,771,L10,07,投资学（财富管理方向）,非定向,25,468,1,4,10000,西校区,校企合作专业，只录取有专业志愿的考生,6832.0
203,773,M32,07,财务管理,非定向,2,546,1,4,5000,主校区,,1254.0
204,774,026,07,金融学类,非定向,1,554,1,4,5720,校本部,学生大学二年级依据个人意愿、学习成绩、综合表现和学校相关规定在所录取专业类内确定专业。包含专业：金融学、金融工程、投资学、保险学,1008.0
205,776,281,07,汉语言文学,非定向,2,561,2,4,5000,校本部,,797.0
206,782,941,07,国际经济与贸易,非定向,3,525,3,4,5500,长安校区,,2184.0
207,785,018,07,法学（刑事法）,非定向,3,549,3,4,5350,校本部,,1162.0
208,786,972,07,新闻传播学类,非定向,2,503,0,4,4400,校本部,包含专业：新闻学、广告学,3612.0
209,789,A32,07,针灸推拿学,非定向,4,517,3,5,6160,净月校区,不招色盲色弱,2666.0
210,793,042,07,法学,非定向,2,532,4,4,,天门山校区,,1820.0
211,797,942,07,汉语国际教育,非定向,3,501,3,4,5000,长安校区,,3768.0
212,799,046,07,经济学类,非定向,6,512,7,4,4400,校本部,包含专业：经济学、财政学、金融学、信用管理、国际经济与贸易,2994.0
213,801,006,07,民族学,非定向,4,499,4,4,4400,武侯校区,,3913.0
214,808,048,07,物流管理,非定向,2,487,2,4,4200,校本部,,4902.0
215,809,313,07,外国语言文学类,非定向,3,544,1,4,5100,威海校区,包含专业：英语(语言文学方向)、英语(英德双语方向)、英语(英法双语方向)、英语(英西双语方向)、英语(英俄双语方向)、英语(英日双语方向)、英语(国际传播)、翻译、朝鲜语(翻译方向)、朝鲜语(经贸方向),1321.0
216,813,297,07,汉语言文学,非定向,2,576,2,4,5810,前卫南区,,451.0
217,833,304,08,法学,非定向,1,665,2,4,5000,校本部,,
218,843,556,08,法学,非定向,2,519,4,4,4400,校本部,,2539.0
219,845,286,08,法学,非定向,1,634,2,4,5000,北京市,入校后可参与选拔项目：法学-新闻学、工商管理-法学、涉外法治3个双主学位项目；国际交流：含哈佛大学、鲁汶大学、新加坡国立大学等免学费交换项目，“亚洲校园+”项目（中日韩三国政府奖学金支持）、中欧欧洲法国际组织后备人才培养项目（国家留基委资助）等。,16.0
220,853,005,08,旅游管理,非定向,2,472,0,4,4400,银川,,6374.0
