,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
206,1411,992,04,财务管理,非定向,2,453,2,4,4000,校本部,,8634
207,1415,858,04,国际经济与贸易,非定向,4,392,6,4,24000,,,16814
208,1419,C23,04,会计学,非定向,2,379,1,4,79800,校本部,,18670
209,1420,838,04,车辆工程,非定向,1,386,1,4,26000,净月南校区,,17686
210,1424,696,04,管理科学,非定向,2,410,2,4,,七里坪校区,,14357
211,1427,404,04,法学,非定向,2,467,2,4,5000,校本部,,6953
212,1428,764,04,社会工作,非定向,39,431,39,4,4200,校本部,,11465
213,1429,G16,04,医学影像学,非定向,3,416,3,5,41544,长沙校区,,13497
214,1431,F41,04,网络与新媒体,非定向,1,402,1,4,27500,校本部,,15431
215,1434,787,04,财务管理,非定向,5,428,5,4,15000,天津市宝坻区,,11868
216,1440,104,04,法学类,非定向,2,490,3,4,4400,开元校区,包含专业：法学、知识产权,4645
217,1443,N30,04,投资学,非定向,2,408,2,4,4400,象湖校区,,14636
218,1444,744,04,旅游管理,非定向,1,389,2,4,4587,校本部,,17250
219,1452,H15,04,互联网金融,非定向,9,386,9,4,26800,校本部,,17686
220,1460,A01,04,保险学,非定向,1,385,1,4,24000,校本部,,17842
221,1461,N41,04,物流管理,非定向,1,403,1,4,21800,校本部,,15309
222,1463,091,04,学前教育（师范类）,非定向,4,428,4,4,4400,校本部,,11868
223,1464,C94,04,工程造价,非定向,1,389,1,4,19800,遥墙校区,,17250
224,1468,A98,04,国际经济与贸易,非定向,2,435,2,4,21000,,,10940
225,1470,G28,04,社会工作,非定向,5,427,5,4,5200,主校区,,12009
226,1473,823,04,法学,非定向,4,498,4,4,4800,,,3994
227,1474,F37,04,国际经济与贸易,非定向,2,416,2,4,18000,福建厦门,,13497
228,1477,154,04,行政管理,非定向,2,454,1,4,4000,雨花校区,,8525
229,1480,766,04,思想政治教育（师范类）,非定向,70,427,71,4,4200,校本部,,12009
230,1483,350,04,市场营销,非定向,2,397,2,4,12700,,,16180
231,1484,367,04,学前教育,非定向,4,393,4,4,23500,主校区,,16696
232,1486,704,04,金融学类,非定向,6,398,6,4,15000,校本部,包含专业：金融学、国际经济与贸易、电子商务,16011
233,1487,876,04,俄语（师范类）,非定向,4,414,5,4,4000,本校区,,13783
234,1489,P25,04,中西医临床医学,非定向,1,484,2,5,4600,和平校区,不招色盲色弱考生,5193
235,1490,948,04,教育学,非定向,2,391,2,4,28500,校本部,,16961
236,1496,808,04,电子商务,非定向,6,381,5,4,30000,校本部,,18406
237,1497,F89,04,人力资源管理,非定向,2,381,2,4,49800,北京市大兴区,,18406
238,1499,E87,04,学前教育（师范类）,非定向,40,391,44,4,16000,校本部,,16961
239,1506,C07,04,工商管理类,非定向,1,403,1,4,16000,校本部,包含专业：工商管理、市场营销,15309
240,1509,021,04,行政管理,非定向,1,467,1,4,5200,金石滩校区,,6953
241,1510,698,04,金融学,非定向,2,449,2,4,14000,,,9154
242,1511,C85,04,财务管理,非定向,3,396,3,4,14900,,,16308
243,1514,847,04,新闻学,非定向,2,442,2,4,4590,校本部,,10023
244,1515,548,04,历史学（师范类）,非定向,3,456,3,4,4800,高新校区,,8255
245,1519,757,04,学前教育（师范类）,非定向,46,434,50,4,4200,校本部,,11066
246,1523,739,04,融合教育,非定向,4,385,4,4,24800,,,17842
247,1524,LM6,04,行政管理,非定向,2,429,2,4,5500,相思湖校区,只招收达斡尔族、鄂温克族、鄂伦春族考生。,11719
248,1525,053,04,财政学,非定向,1,468,1,4,4400,嵩山路校区,,6832
249,1530,652,04,历史学（师范类）,非定向,1,447,1,4,4600,河北省沧州市,,9388
250,1533,A35,04,金融学,非定向,5,395,5,4,26800,净月校区,,16438
251,1537,190,04,金融学,非定向,2,443,2,4,5280,卡伦校区,,9897
252,1539,N42,05,会计学（注册会计师）,非定向,6,415,6,4,20000,校本部,,13636
253,1545,B38,05,电子商务类,非定向,5,432,3,4,33000,,一年级就读于回龙校区，后就读于钱湖校区。包含专业：电子商务、跨境电子商务,11329
254,1546,208,05,会计学,非定向,1,485,2,4,5050,,第一、二学年在肇庆校区就读，第三、四学年在校本部就读,5083
255,1547,F31,05,汉语言文学,非定向,2,411,2,4,19800,校本部,,14212
256,1548,175,05,思想政治教育（师范类）,非定向,5,458,5,4,4400,薛城校区,,7998
257,1552,C55,05,英语,非定向,1,389,1,4,21000,校本部,,17250
258,1553,B28,05,旅游管理,非定向,1,409,1,4,4950,南校区,,14492
259,1554,F39,05,金融学（投资方向）,非定向,4,381,4,4,22800,校本部,,18406
260,1557,A77,05,精算学,非定向,1,520,1,4,6325,圣井校区,,2482
261,1559,F29,05,汉语国际教育,非定向,2,400,2,4,27000,校本部,,15715
262,1561,A02,05,会计学,非定向,1,436,1,4,35000,,录取新生就读校区为一年级在嘉善校区，其他学期在金海校区。,10816
263,1562,A58,05,电子商务,非定向,1,442,0,4,5040,校本部,,10023
