,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
108,3001,本科二批第一次,理科,18,黑龙江工程学院,881,1:1,335,335,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-914.dhtml,59565,,黑龙江省,哈尔滨市
109,3065,本科二批第三次,理科,13,北京工商大学嘉华学院（独立学院）,C23,1:1,333,333,13,1,12,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml,60194,,北京市,北京市
110,3067,本科二批第一次,理科,49,绥化学院,892,1:1,333,333,49,48,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-192.dhtml,60194,,黑龙江省,绥化市
111,3114,本科二批第一次,理科,10,辽宁理工职业大学（民办）,B83,1:1,333,333,10,5,5,,59238,,辽宁省,营口市
112,3122,本科二批第一次,理科,13,黄河科技学院（民办）,395,1:1,333,333,13,12,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-933.dhtml,50148,,河南省,郑州市
113,3143,本科二批第一次,理科,5,湖北科技学院,473,1:1,416,416,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-669.dhtml,23526,,湖北省,咸宁市
114,3155,本科二批第二次,理科,23,齐齐哈尔医学院,B42,1:1,400,400,23,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-741.dhtml,38661,,黑龙江省,齐齐哈尔市
115,3173,本科二批第一次,理科,14,哈尔滨信息工程学院（民办）,218,1:1,333,333,14,12,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-873.dhtml,57633,,黑龙江省,哈尔滨市
116,3179,本科二批第一次,理科,5,武汉纺织大学外经贸学院（独立学院）,N41,1:1,354,354,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1596.dhtml,52756,,湖北省,武汉市
117,3250,本科二批第一次,理科,20,韶关学院,B97,1:1,347,347,20,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-440.dhtml,44318,,广东省,韶关市
