,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,CollegeLevel,ranking,CollegeProvince,CollegeCity
3253,5683,本科二批第一次,理科,3,安顺学院,B21,1:1,348,348,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-517.dhtml,31,水土保持与荒漠化防治,非定向,1,348,1,4,4200,校本部,,,55317,贵州省,安顺市
3254,5684,本科二批第一次,理科,11,西北师范大学,958,1:1,356,356,11,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-576.dhtml,31,大数据管理与应用,非定向,1,431,1,4,4300,,,,29746,甘肃省,兰州市
3255,5687,本科二批第一次,理科,80,昆明理工大学,425,1:1,409,409,80,82,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-524.dhtml,31,水利类,非定向,4,432,4,4,4500,呈贡校区,包含专业：水利水电工程、水文与水资源工程,,29476,云南省,昆明市
3256,5688,本科二批第一次,理科,94,长春科技学院（民办）,356,1:1,337,337,94,98,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1851.dhtml,31,学前教育,非定向,2,337,1,4,26000,东华大街校区,,,58923,吉林省,长春市
3257,5691,本科二批第一次,理科,52,辽宁科技大学,167,1:1,383,383,52,53,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-122.dhtml,31,会计学,非定向,1,449,1,4,5200,校本部,,,25058,辽宁省,鞍山市
3258,5693,本科二批第三次,理科,22,沈阳城市学院（民办）,C88,1:1,333,333,22,6,16,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1587.dhtml,31,人力资源管理,非定向,2,333,1,4,29000,校本部,,,60194,辽宁省,沈阳市
3259,5695,本科二批第一次,理科,32,兰州财经大学,051,1:1,357,357,32,32,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-581.dhtml,31,翻译,非定向,1,375,1,4,4300,和平校区,,,46577,甘肃省,兰州市
3260,5696,本科二批第一次,理科,114,长春建筑学院（民办）,349,1:1,333,333,114,87,27,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1850.dhtml,31,工程造价,非定向,5,338,5,4,26000,奢岭校区,,,58641,吉林省,长春市
3261,5698,本科二批第一次,理科,40,嘉兴学院,B72,1:1,408,408,40,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-272.dhtml,31,计算机科学与技术,非定向,4,458,5,4,6325,梁林校区,,,22756,浙江省,嘉兴市
3262,5699,本科二批第一次,理科,100,吉林化工学院,839,1:1,347,347,100,103,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-160.dhtml,31,英语,非定向,1,363,1,4,4600,龙潭校区,只招英语考生,,50485,吉林省,吉林市
