,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
992,3970,本科二批第一次,文科,4,宝鸡文理学院,952,1:1,440,440,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-563.dhtml,17,历史学（师范类）,非定向,2,464,2,4,4250,高新校区,,7292,,陕西省,宝鸡市
993,3980,本科二批第一次,文科,28,吉林农业科技学院,854,1:1,396,396,28,31,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-810.dhtml,17,食品科学与工程类,非定向,3,427,3,4,5400,九站校区,包含专业：食品科学与工程、食品质量与安全,12009,,吉林省,吉林市
994,3982,本科二批第一次,文科,23,青岛滨海学院（民办）,739,1:1,381,381,23,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-651.dhtml,17,财务管理,非定向,4,388,5,4,24800,,,17390,,山东省,青岛市
995,3983,本科二批第一次,文科,1137,内蒙古鸿德文理学院（民办）,E87,1:1,386,386,1137,1211,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46949665.dhtml,17,保险学,非定向,30,389,32,4,16000,校本部,,17250,,内蒙古自治区,呼和浩特市
996,3984,本科二批第二次,文科,5,乐山师范学院,110,1:1,409,409,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-501.dhtml,17,英语（师范类）,非定向,3,409,3,4,,校本部,,14492,,四川省,乐山市
997,3985,本科二批第一次,文科,4,三明学院,G20,1:1,414,414,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-762.dhtml,17,财务管理,非定向,1,453,1,4,4800,,,8634,,福建省,三明市
998,3986,本科二批第一次,文科,49,长春财经学院（民办）,A35,1:1,382,382,49,53,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1848.dhtml,17,市场营销,非定向,2,388,3,4,26000,净月校区,,17390,,吉林省,长春市
999,3987,本科二批第一次,文科,5,石家庄铁道大学四方学院（独立学院）,D05,1:1,412,412,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1838.dhtml,17,工程管理,非定向,5,412,5,4,10000,南校区,,14081,,河北省,石家庄市
1000,3991,本科二批第一次,文科,55,长春工业大学人文信息学院（独立学院）,838,1:1,383,383,55,62,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,17,英语,非定向,1,385,1,4,25000,净月南校区,,17842,,吉林省,长春市
1001,3995,本科二批第二次,文科,62,长春人文学院（民办）,A40,1:1,380,380,62,63,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1903.dhtml,17,俄语,非定向,3,380,2,4,25000,净月校区,,18521,,吉林省,长春市
1002,3997,本科二批第二次,文科,50,银川科技学院（民办）,E85,1:1,379,379,50,48,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6675760.dhtml,17,汉语言文学,非定向,9,408,13,4,24800,校本部,,14636,,宁夏回族自治区,银川市
1003,3998,本科二批第一次,文科,5,西安汽车职业大学（民办）,C67,1:1,392,392,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1977.dhtml,17,大数据与财务管理,非定向,5,392,6,4,22800,临潼校区,职业本科,16814,,陕西省,西安市
1004,4005,本科二批第一次,文科,8,厦门工学院（民办）,H40,1:1,386,386,8,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1544.dhtml,18,财务管理,非定向,2,389,4,4,33000,校本部,,17250,,福建省,厦门市
1005,4007,本科二批第一次,文科,8,三峡大学科技学院（独立学院）,446,1:1,389,389,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1592.dhtml,18,金融学,非定向,2,389,1,4,15000,江南校区,,17250,,湖北省,宜昌市
1006,4010,本科二批第一次,文科,20,黑龙江外国语学院（民办）,891,1:1,379,379,20,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1640.dhtml,18,俄语,非定向,10,379,11,4,26000,,,18670,,黑龙江省,哈尔滨市
1007,4012,本科二批第一次,文科,23,晋中信息学院（民办）,H49,1:1,388,388,23,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1803.dhtml,18,农林经济管理,非定向,2,394,2,4,14980,,,16571,,山西省,晋中市
