,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
933,1247,本科一批第一次,理科,73,海南大学,925,1:1,479,479,73,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,0H,生物医学工程,非定向,3,528,3,4,4600,,一、二年级在海甸校区，三、四年级在三亚崖州湾科教园,9081.0,"['211', 'DFC']",海南省,海口市
934,1248,本科一批第一次,理科,54,哈尔滨工程大学,410,1:1,549,549,54,59,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-177.dhtml,0H,数学与应用数学,非定向,3,549,3,4,4000,校本部,,6181.0,"['211', 'DFC']",黑龙江省,哈尔滨市
935,1249,本科一批第一次,理科,64,南京工业大学,192,1:1,458,458,64,73,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-230.dhtml,0H,电气工程及其自动化,非定向,2,539,3,4,6380,江浦校区,,7536.0,,江苏省,南京市
936,1251,本科一批第一次,理科,90,沈阳农业大学,072,1:1,438,438,90,91,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-131.dhtml,0H,土地资源管理,非定向,2,477,2,4,5200,主校区,,18379.0,,辽宁省,沈阳市
937,1252,本科一批第一次,理科,28,吉林财经大学,381,1:1,441,441,28,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-170.dhtml,0H,财政学,非定向,2,497,2,4,5280,净月校区,,14323.0,,吉林省,长春市
938,1253,本科一批第一次,理科,133,中国矿业大学,463,1:1,512,512,133,136,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-229.dhtml,0H,金融学,非定向,2,512,1,4,5200,,,11556.0,['211'],江苏省,徐州市
939,1255,本科一批第一次,理科,36,南京师范大学,317,1:1,489,489,36,37,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-246.dhtml,0H,法学,非定向,3,563,4,4,5720,仙林校区,,4555.0,"['211', 'DFC']",江苏省,南京市
940,1256,本科一批第一次,理科,318,内蒙古民族大学,761,1:1,438,438,318,334,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-113.dhtml,0H,中医学,非定向,20,452,25,5,5000,校本部,,24270.0,,内蒙古自治区,通辽市
941,1258,本科一批第一次,理科,14,北方工业大学,427,1:1,479,479,14,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml,0H,电子信息工程,非定向,2,519,2,4,4600,校本部,,10442.0,,北京市,北京市
942,1259,本科一批第一次,理科,34,苏州大学,327,1:1,519,519,34,39,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-224.dhtml,0H,软件工程,非定向,1,579,2,4,6380,苏州,,3129.0,"['211', 'DFC']",江苏省,苏州市
