分数档次	物理(含优惠分)人数	物理累计人数	历史(含优惠分)人数	历史累计人数
244	181	377414	644	214384
243	181	377595	619	215003
242	151	377746	632	215635
241	173	377919	619	216254
240	168	378087	602	216856
239	175	378262	616	217472
238	169	378431	623	218095
237	158	378589	570	218665
236	157	378746	603	219268
235	157	378903	599	219867
234	181	379084	627	220494
233	152	379236	594	221088
232	162	379398	607	221695
231	162	379560	610	222305
230	154	379714	597	222902
229	140	379854	608	223510
228	142	379996	570	224080
227	151	380147	582	224662
226	141	380288	567	225229
225	148	380436	584	225813
224	109	380545	554	226367
223	142	380687	530	226897
222	143	380830	564	227461
221	116	380946	495	227956
220	131	381077	532	228488
219	126	381203	480	228968
218	137	381340	476	229444
217	107	381447	509	229953
216	103	381550	505	230458
215	88	381638	444	230902
214	104	381742	503	231405
213	92	381834	479	231884
212	76	381910	426	232310
211	116	382026	420	232730
210	76	382102	441	233171
209	100	382202	405	233576
208	93	382295	440	234016
207	81	382376	375	234391
206	86	382462	387	234778
205	83	382545	375	235153
204	78	382623	369	235522
203	78	382701	326	235848
202	60	382761	334	236182
201	76	382837	307	236489
200	65	382902	303	236792
199	69	382971	268	237060
198	60	383031	290	237350
197	51	383082	291	237641
196	69	383151	260	237901
195	58	383209	252	238153
194	54	383263	215	238368
193	56	383319	228	238596
192	47	383366	184	238780
191	50	383416	213	238993
190	51	383467	213	239206
189	44	383511	182	239388
188	32	383543	206	239594
187	33	383576	176	239770
186	37	383613	178	239948
185	55	383668	187	240135
184	34	383702	168	240303
183	36	383738	174	240477
182	32	383770	140	240617
181	22	383792	148	240765
180	37	383829	130	240895
179	32	383861	132	241027
178	42	383903	138	241165
177	22	383925	111	241276
176	22	383947	133	241409
175	19	383966	98	241507
174	26	383992	112	241619
173	23	384015	101	241720
172	16	384031	76	241796
171	26	384057	126	241922
170	25	384082	82	242004
169	13	384095	91	242095
168	16	384111	94	242189
167	16	384127	86	242275
166	14	384141	86	242361
165	24	384165	80	242441
164	13	384178	82	242523
163	13	384191	64	242587
162	20	384211	77	242664
161	15	384226	54	242718
160	16	384242	63	242781
159	13	384255	67	242848
158	13	384268	49	242897
157	14	384282	72	242969
156	6	384288	63	243032
155	10	384298	58	243090
154	7	384305	61	243151
153	14	384319	46	243197
152	8	384327	47	243244
151	7	384334	46	243290
150	8	384342	49	243339
149	15	384357	43	243382
148	14	384371	42	243424
147	6	384377	45	243469
146	5	384382	41	243510
145	9	384391	38	243548
144	9	384400	36	243584
143	6	384406	39	243623
142	5	384411	30	243653
141	7	384418	26	243679
140	8	384426	25	243704
